id,name,iso_country,length_ft,width_ft
4978,Pago Pago International Airport,AS,10000,150
4825,Toussaint Louverture International Airport,HT,9974,141
4810,Juan Santamaría International Airport,CR,9882,151
4660,Goloson International Airport,HN,9875,147
4772,Punta Huete (Panchito) Airport,NI,9862,148
3108,Smara Airport,EH,9850,100
2144,Lomé–Tokoin International Airport,TG,9847,148
2125,Diori Hamani International Airport,NE,9843,148
2127,Mano Dayak International Airport,NE,9843,98
4976,Faleolo International Airport,WS,9843,148
5506,Wake Island Airfield,UM,9843,150
26475,Phnom Penh International Airport,KH,9843,144
26588,Wattay International Airport,LA,9843,148
4649,Mundo Maya International Airport,GT,9842,148
2993,Seychelles International Airport,SC,9800,151
3980,Larnaca International Airport,CY,9776,148
6416,L.F. Wade International International Airport,BM,9705,150
4573,Skopje International Airport,MK,9678,148
2901,Prince Said Ibrahim International Airport,KM,9514,148
6403,Flamingo International Airport,BQ,9449,148
3971,Kuçovë Air Base,AL,9318,220
2996,Abeche Airport,TD,9186,98
2998,N'Djamena International Airport,TD,9186,148
2999,Faya Largeau Airport,TD,9186,148
67,Port Moresby Jacksons International Airport,PG,9022,148
338063,Riversdale International Airport,BZ,9022,197
6359,V.C. Bird International Airport,AG,9003,148
6367,Point Salines International Airport,GD,9003,148
6389,Hewanorra International Airport,LC,9003,148
6402,Queen Beatrix International Airport,AW,9000,148
322383,Argyle International Airport,VC,9000,148
4680,Norman Manley International Airport,JM,8900,150
4962,Fua'amotu International Airport,TO,8795,147
5431,Saipan International Airport,MP,8700,200
4469,Sarajevo International Airport,BA,8666,150
2873,Bangui M'Poko International Airport,CF,8530,148
5011,Bauerfield International Airport,VU,8530,148
2512,Mount Pleasant Airport,FK,8497,150
26882,Cakung Airport,TL,8233,182
4615,Tivat Airport,ME,8208,148
4614,Priština Adem Jashari International Airport,XK,8165,148
27100,Cocos (Keeling) Islands Airport,CC,7999,148
5488,Marshall Islands International Airport,MH,7897,150
2087,Cadjehoun Airport,BJ,7874,148
6406,Princess Juliana International Airport,SX,7708,148
4974,Niue International Airport,NU,7660,148
4958,Rarotonga International Airport,CK,7638,150
6386,Robert L. Bradshaw International Airport,KN,7602,148
4628,Providenciales Airport,TC,7598,148
6356,Cheddi Jagan International Airport,GY,7448,148
26632,Paro Airport,BT,7431,98
2969,São Tomé International Airport,ST,7283,148
3,Honiara International Airport,SB,7218,148
5501,Babelthuap Airport,PW,7200,150
8,Nauru International Airport,NR,7054,148
4862,Owen Roberts International Airport,KY,7021,148
5493,Cassidy International Airport,KI,6900,98
27122,Christmas Island Airport,CX,6900,148
4975,Hihifo Airport,WF,6890,148
5217,Jerusalem International Airport,PS,6447,148
27141,Norfolk Island International Airport,NF,6398,150
2904,Dzaoudzi Pamandzi International Airport,YT,6330,92
5499,Chuuk International Airport,FM,6006,150
4574,Gibraltar Airport,GI,6000,150
2559,Vágar Airport,FO,5902,98
4245,St Pierre Airport,PM,5900,150
2447,Isle of Man Airport,IM,5751,151
2426,Jersey Airport,JE,5597,148
6407,Clayton J Lloyd International Airport,AI,5462,98
2425,Guernsey Airport,GG,5194,148
44571,Funafuti International Airport,TV,5040,
44902,Europa Island Airstrip,TF,4921,
6362,Douglas-Charles Airport,DM,4777,148
6411,Terrance B. Lettsome International Airport,VG,4642,89
6364,Grand Case-Espérance Airport,MF,3937,98
46548,Aviosuperficie Torraccia,SM,2133,98
32249,Gustaf III Airport / Saint Barthélemy Rémy de Haenen Airport,BL,2133,49
43074,John A. Osborne Airport,MS,1968,
